url,property_id,num_of_rooms,Locality_name,postal_code,price,property_type,sub_property_type,type_sale,living_area,kitchen_type,Furnished,Open_fire,Terrace,Garden,Number_of_faceds,Swimming_pool,State_of_building
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/borovets/07218/1838035,1838035,1,borovets,07218,52934€,Appartement,Studio ,Non public,50 m²,"Amerikaans, geïnstalleerd",1,0,,,4,1.0,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/sunny-beach/08240/1838036,1838036,1,sunny-beach,08240,51000€,Appartement ,,Non public,50 m²,Geïnstalleerd,1,0,,,4,1.0,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/obzor/08250/1838641,1838641,1,obzor,08250,73000€,Appartement ,,Non public,,,0,0,,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/kosharitsa/08224/1838642,1838642,1,kosharitsa,08224,69000€,Appartement ,,Non public,,,0,0,,,,,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/sunny-beach/08240/1839112,1839112,1,sunny-beach,08240,57000€,Appartement ,,Non public,,Geïnstalleerd,0,0,,,4,1.0,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/byala/09101/1839193,1839193,1,byala,09101,93218€,Appartement ,,Non public,,Geïnstalleerd,0,0,,,,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/balchik/09600/1840625,1840625,3,balchik,09600,285000€,Appartement ,,Non public,,Geïnstalleerd,1,1,,,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/balchik/09600/1840646,1840646,3,balchik,09600,285000€,Huis,Villa ,Non public,,Geïnstalleerd,1,1,,,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/obzor/08250/1840818,1840818,1,obzor,08250,73000€,Huis,Uitzonderlijk vastgoed,Non public,,,0,0,,,,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/wenduine/8420/1882546,1882546,2,wenduine,8420,148000€,Huis,Chalet ,Non public,55 m²,"Amerikaans, geïnstalleerd",0,0,10 m²,110 m²,4,0.0,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/kapellen/2950/2070520,2070520,4,kapellen,2950,,Huis,Villa ,Non public,650 m²,,0,0,,,4,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/atina/03042/2083530,2083530,7,atina,03042,725000€,Huis,Villa ,Non public,,,0,0,,,,1.0,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/geel/2440/2573581,2573581,,geel,2440,,Appartement,Studio ,Non public,,,1,0,,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/tessenderlo/3980/2573644,2573644,2,tessenderlo,3980,,Appartement ,,Non public,111 m²,,0,0,,,,,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/heist-aan-zee/8301/2784938,2784938,2,heist-aan-zee,8301,108000€,Huis,Bungalow ,Non public,51 m²,Geïnstalleerd,0,0,,120 m²,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/s-gravenwezel/2970/3303247,3303247,5,s-gravenwezel,2970,,Huis,Villa ,Non public,620 m²,,0,0,,,4,0.0,
https://www.immoweb.be/nl/zoekertje/huis/te-koop/ingelmunster/8770/3622649,3622649,4,ingelmunster,8770,,Huis ,,Non public,306 m²,,1,0,Ja,,,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/st-ulriks-kapelle/1700/3779703,3779703,5,st-ulriks-kapelle,1700,,Huis,Villa ,Non public,290 m²,Geïnstalleerd,0,0,,,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/schaerbeek/1030/3829592,3829592,3,schaerbeek,1030,,Appartement,Benedenverdieping ,Non public,150 m²,Hyper uitgerust,0,0,,70 m²,,,Net gerenoveerd
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/knokke/8300/3841346,3841346,3,knokke,8300,,Appartement ,,Non public,100 m²,,0,0,,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/knokke/8300/3841347,3841347,3,knokke,8300,,Appartement ,,Non public,135 m²,,0,0,,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/schoten/2900/3903180,3903180,4,schoten,2900,,Huis,Villa ,Non public,480 m²,,0,0,,,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/schoten-koningshof/2900/3947116,3947116,5,schoten-koningshof,2900,,Huis,Villa ,Non public,430 m²,Geïnstalleerd,0,1,,2622 m²,4,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/ingelmunster/8770/3956676,3956676,3,ingelmunster,8770,,Huis ,,Non public,165 m²,,0,0,Ja,,,,
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/oostende/8400/4079236,4079236,2,oostende,8400,,Appartement ,,Non public,82 m²,,0,0,Ja,,,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/gent/9000/4089845,4089845,2,gent,9000,,Huis ,,Non public,160 m²,,0,0,,,,,Op te frissen
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/borgerhout/2140/4132492,4132492,1,borgerhout,2140,210000€,Appartement ,,Non public,,Semi uitgerust,0,0,,,1,,Op te frissen
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/oostende/8400/4183567,4183567,3,oostende,8400,,Appartement ,,Non public,,,0,0,,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/s-gravenwezel/2970/4329019,4329019,4,s-gravenwezel,2970,,Huis,Villa ,Non public,550 m²,,0,0,,,,,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/ternat/1740/4503569,4503569,4,ternat,1740,,Huis,Villa ,Non public,200 m²,Geïnstalleerd,0,1,,,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/st-gilles/1060/4611027,4611027,3,st-gilles,1060,895000€,Appartement,Duplex ,Non public,,"Amerikaans, hyper-geïnstalleerd",0,0,,,2,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/ruddervoorde/8020/4614118,4614118,4,ruddervoorde,8020,,Huis,Villa ,Non public,258 m²,,0,0,Ja,,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/assebroek/8310/4614119,4614119,5,assebroek,8310,,Huis ,,Non public,210 m²,,0,0,Ja,,4,,Uitstekende staat
https://www.immoweb.be/nl/zoekertje/huis/te-koop/oostende/8400/4679861,4679861,1,oostende,8400,330000€,Huis ,,Non public,,Geïnstalleerd,0,0,,,,0.0,Goed
https://www.immoweb.be/nl/zoekertje/appartement/te-koop/oostende/8400/4679862,4679862,,oostende,8400,,Appartement,Studio ,Non public,45 m²,,0,0,,,2,0.0,Goed
https://www.immoweb.be/nl/zoekertje/huis/te-koop/schilde/2970/4711417,4711417,6,schilde,2970,,Huis,Villa ,Non public,717 m²,,0,0,,,,,Goed
